0,0,0
1,0,0
1,0,1
1,1,1
2,1,1
2,2,1
2,2,2
2,3,2
3,3,2
4,3,2
4,4,2
4,4,3
4,5,3
5,5,3
6,5,3
6,6,3
6,6,4
6,7,4
7,7,4
7,8,4
7,8,5
7,9,5
8,9,5
9,9,5
10,9,5
11,9,5
12,9,5
13,9,5
14,9,5
15,9,5
16,9,5
16,10,5
16,11,5
16,12,5
16,13,5
16,14,5
16,15,5
16,16,5
16,17,5
16,18,5
16,19,5
16,20,5
16,21,5
16,22,5
16,23,5
16,24,5
16,25,5
16,26,5
16,27,5
16,28,5
16,28,6
16,29,6
16,30,6
16,30,7
16,30,8
16,30,9
16,30,10
16,30,11
16,30,12
16,30,13
16,30,14
16,30,15
16,30,16
16,30,17
16,31,17
17,31,17
17,32,17
17,32,18
17,33,18
17,33,19
17,34,19
18,34,19
18,35,19
19,35,19
20,35,19
21,35,19
22,35,19
23,35,19
24,35,19
25,35,19
26,35,19
27,35,19
28,35,19
29,35,19
30,35,19
31,35,19
32,35,19
33,35,19
34,35,19
35,35,19
36,35,19
37,35,19
38,35,19
38,36,19
38,37,19
39,37,19
39,37,20
